Orthogroup	wa7733.asm1v1.ann1.run1.all.std.maker.proteins.func	Sp7498_pacbio.protein
OG0000055	wa7733.asm1v1.ann1.run1_011480_1	g2697.t1
OG0000055	wa7733.asm1v1.ann1.run1_002822_1	g11923.t1, g18540.t1
OG0000056	wa7733.asm1v1.ann1.run1_013801_1	g7180.t1
OG0000056	wa7733.asm1v1.ann1.run1_006200_1, wa7733.asm1v1.ann1.run1_006190_1, wa7733.asm1v1.ann1.run1_014815_1, wa7733.asm1v1.ann1.run1_006206_1	g13632.t1, g12686.t1, g3207.t1
OG0000057	wa7733.asm1v1.ann1.run1_006449_1, wa7733.asm1v1.ann1.run1_006451_1, wa7733.asm1v1.ann1.run1_006448_1, wa7733.asm1v1.ann1.run1_006453_1	g5358.t1, g5360.t1
OG0000058	wa7733.asm1v1.ann1.run1_013875_1	g16515.t1
OG0000058	wa7733.asm1v1.ann1.run1_014002_1, wa7733.asm1v1.ann1.run1_007907_1	g7826.t1
OG0000058	wa7733.asm1v1.ann1.run1_004635_1	g12878.t1
OG0000059	wa7733.asm1v1.ann1.run1_006360_1, wa7733.asm1v1.ann1.run1_009583_1, wa7733.asm1v1.ann1.run1_001564_1, wa7733.asm1v1.ann1.run1_002648_1	g10516.t1
OG0000060	wa7733.asm1v1.ann1.run1_013525_1	g18757.t1
OG0000060	wa7733.asm1v1.ann1.run1_010734_1	g14210.t1
OG0000060	wa7733.asm1v1.ann1.run1_008032_1	g10689.t1
OG0000060	wa7733.asm1v1.ann1.run1_006691_1	g16538.t1
OG0000062	wa7733.asm1v1.ann1.run1_008121_1	g17357.t1
OG0000062	wa7733.asm1v1.ann1.run1_002975_1	g3320.t1
OG0000062	wa7733.asm1v1.ann1.run1_005934_1	g7979.t1
OG0000062	wa7733.asm1v1.ann1.run1_009938_1, wa7733.asm1v1.ann1.run1_009395_1	g205.t1
OG0000063	wa7733.asm1v1.ann1.run1_006064_1	g655.t1, g15777.t1
OG0000063	wa7733.asm1v1.ann1.run1_012919_1, wa7733.asm1v1.ann1.run1_010155_1, wa7733.asm1v1.ann1.run1_010156_1	g12123.t1
OG0000064	wa7733.asm1v1.ann1.run1_003177_1	g19260.t1
OG0000065	wa7733.asm1v1.ann1.run1_008506_1, wa7733.asm1v1.ann1.run1_014352_1, wa7733.asm1v1.ann1.run1_014353_1, wa7733.asm1v1.ann1.run1_014351_1, wa7733.asm1v1.ann1.run1_014350_1, wa7733.asm1v1.ann1.run1_008507_1, wa7733.asm1v1.ann1.run1_014349_1, wa7733.asm1v1.ann1.run1_008508_1	g2142.t1
OG0000066	wa7733.asm1v1.ann1.run1_010180_1	g2230.t1
OG0000066	wa7733.asm1v1.ann1.run1_007364_1	g4800.t1, g17091.t1
OG0000066	wa7733.asm1v1.ann1.run1_000930_1	g14505.t1
OG0000067	wa7733.asm1v1.ann1.run1_001593_1, wa7733.asm1v1.ann1.run1_009560_1	g5634.t1, g3978.t1
OG0000067	wa7733.asm1v1.ann1.run1_001416_1	g10273.t1, g17717.t1
OG0000067	wa7733.asm1v1.ann1.run1_011705_1	g13701.t1
OG0000068	wa7733.asm1v1.ann1.run1_015152_1, wa7733.asm1v1.ann1.run1_003563_1, wa7733.asm1v1.ann1.run1_013016_1, wa7733.asm1v1.ann1.run1_006677_1	g10113.t1
OG0000069	wa7733.asm1v1.ann1.run1_009728_1	g12561.t1
OG0000069	wa7733.asm1v1.ann1.run1_008549_1, wa7733.asm1v1.ann1.run1_012725_1, wa7733.asm1v1.ann1.run1_008548_1, wa7733.asm1v1.ann1.run1_012723_1, wa7733.asm1v1.ann1.run1_008552_1, wa7733.asm1v1.ann1.run1_008547_1	g9211.t1
