Orthogroup	wa8730.asm201904v2.ann1.proteins	Sp9509_oxford_v3.proteins
OG0000078	Wa8730a005g006060_P001, Wa8730a005g006040_P001, Wa8730a005g006070_P001	Sp08g00405
OG0000078	Wa8730a008g003020_P001	Sp17g00050, Sp17g00049, Sp17g00051
OG0000079	Wa8730a001g000800_P001	Sp01g00580
OG0000079	Wa8730a006g003950_P001, Wa8730a020g001720_P001, Wa8730a020g001720_P002	Sp10g00219, Sp10g00221
OG0000079	Wa8730a003g008720_P001	Sp03g01365
OG0000080	Wa8730a009g005140_P002, Wa8730a009g005140_P001	Sp01g00395, Sp01g00398
OG0000080	Wa8730a014g002760_P001	Sp03g01359, Sp09g00769
OG0000081	Wa8730a016g003980_P001	Sp18g00173
OG0000081	Wa8730a010g001260_P001	Sp05g00233
OG0000081	Wa8730a014g002520_P001	Sp09g00795
OG0000081	Wa8730a003g008310_P001	Sp03g01286
OG0000083	Wa8730a010g005160_P001	Sp05g00811
OG0000083	Wa8730a015g003420_P001	Sp12g00429
OG0000083	Wa8730a004g002110_P001, Wa8730a005g003990_P001, Wa8730a004g007350_P001	Sp19g00232
OG0000084	Wa8730a003g003590_P001	Sp15g00364, Sp15g00360, Sp03g00620, Sp03g00691, Sp03g00607, Sp03g01137, Sp03g01117
OG0000085	Wa8730a002g001140_P001, Wa8730a002g001110_P001, Wa8730a004g006000_P001, Wa8730a004g006100_P001, Wa8730a004g006080_P001, Wa8730a002g001130_P002, Wa8730a002g001130_P001	Sp02g01148
OG0000086	Wa8730a017g001190_P001, Wa8730a017g001210_P001	Sp20g00175, Sp20g00413
OG0000086	Wa8730a005g000210_P001	Sp08g01256, Sp02g01122
OG0000087	Wa8730a005g004710_P001	Sp08g00575
OG0000087	Wa8730a004g006930_P001	Sp19g00265
OG0000087	Wa8730a005g002700_P001, Wa8730a010g001220_P001	Sp05g00227
OG0000088	Wa8730a004g005670_P001	Sp19g00446
OG0000088	Wa8730a010g003790_P001	Sp05g00620
OG0000088	Wa8730a005g008720_P001, Wa8730a005g008780_P001, Wa8730a005g008770_P001	Sp08g00054
OG0000089	Wa8730a012g001960_P001	Sp07g00584
OG0000089	Wa8730a018g002580_P001, Wa8730a018g002710_P001, Wa8730a018g002640_P001, Wa8730a013g004490_P001, Wa8730a011g005460_P001	Sp11g00849
OG0000090	Wa8730a012g003160_P001, Wa8730a019g000930_P001, Wa8730a006g002080_P001	Sp16g00438
OG0000090	Wa8730a009g005000_P001	Sp07g00781, Sp10g00067, Sp01g00365
OG0000091	Wa8730a012g003750_P001	Sp07g00851
OG0000091	Wa8730a006g006890_P001	Sp04g01454
OG0000091	Wa8730a007g005180_P001	Sp04g00544
OG0000091	Wa8730a012g001500_P001	Sp16g00190
OG0000092	Wa8730a001g010870_P001	Sp01g01569
OG0000092	Wa8730a001g010860_P001	Sp01g01568
OG0000092	Wa8730a018g000740_P001	Sp06g01222
OG0000092	Wa8730a019g002130_P001	Sp06g00380
OG0000093	Wa8730a001g000760_P001	Sp01g00574
OG0000094	Wa8730a009g004500_P001	Sp01g00443
OG0000094	Wa8730a003g008260_P001	Sp03g01277
OG0000094	Wa8730a020g000710_P001	Sp02g00265, Sp10g00385, Sp10g00386
OG0000095	Wa8730a014g002580_P001	Sp09g00777
OG0000095	Wa8730a009g005320_P001	Sp01g00419
OG0000095	Wa8730a014g002700_P001, Wa8730a014g002690_P001	Sp03g01338, Sp09g00776
OG0000096	Wa8730a014g004040_P001	Sp09g00580
