Orthogroup	wa8730.asm201904v2.ann1.proteins	wa7733.asm1v1.ann1.run1.all.std.maker.proteins.func
OG0000029	Wa8730a016g001400_P001	wa7733.asm1v1.ann1.run1_006857_1, wa7733.asm1v1.ann1.run1_006395_1, wa7733.asm1v1.ann1.run1_002934_1, wa7733.asm1v1.ann1.run1_013396_1, wa7733.asm1v1.ann1.run1_000596_1, wa7733.asm1v1.ann1.run1_010101_1, wa7733.asm1v1.ann1.run1_009708_1, wa7733.asm1v1.ann1.run1_009664_1, wa7733.asm1v1.ann1.run1_004722_1, wa7733.asm1v1.ann1.run1_014495_1, wa7733.asm1v1.ann1.run1_005223_1, wa7733.asm1v1.ann1.run1_001210_1, wa7733.asm1v1.ann1.run1_006576_1, wa7733.asm1v1.ann1.run1_015200_1, wa7733.asm1v1.ann1.run1_005303_1, wa7733.asm1v1.ann1.run1_012942_1, wa7733.asm1v1.ann1.run1_004722_2, wa7733.asm1v1.ann1.run1_001237_1, wa7733.asm1v1.ann1.run1_004391_1, wa7733.asm1v1.ann1.run1_008885_1, wa7733.asm1v1.ann1.run1_007832_1
OG0000030	Wa8730a002g009650_P001	wa7733.asm1v1.ann1.run1_012923_1
OG0000030	Wa8730a003g008590_P001	wa7733.asm1v1.ann1.run1_011342_1
OG0000030	Wa8730a012g000980_P001	wa7733.asm1v1.ann1.run1_010275_1
OG0000030	Wa8730a001g008960_P001	wa7733.asm1v1.ann1.run1_012789_1
OG0000031	Wa8730a003g008300_P001	wa7733.asm1v1.ann1.run1_007465_1
OG0000031	Wa8730a005g001670_P001	wa7733.asm1v1.ann1.run1_012407_1
OG0000031	Wa8730a012g005400_P001	wa7733.asm1v1.ann1.run1_000001_1
OG0000031	Wa8730a016g004350_P001	wa7733.asm1v1.ann1.run1_000806_1
OG0000031	Wa8730a002g009240_P001	wa7733.asm1v1.ann1.run1_010604_1
OG0000032	Wa8730a016g003190_P001	wa7733.asm1v1.ann1.run1_007544_1
OG0000032	Wa8730a002g002970_P001	wa7733.asm1v1.ann1.run1_001516_1
OG0000032	Wa8730a002g001780_P001	wa7733.asm1v1.ann1.run1_013641_1
OG0000032	Wa8730a001g003780_P001	wa7733.asm1v1.ann1.run1_001573_1
OG0000032	Wa8730a014g005910_P001	wa7733.asm1v1.ann1.run1_001842_1, wa7733.asm1v1.ann1.run1_001842_2
OG0000033	Wa8730a003g003690_P001	wa7733.asm1v1.ann1.run1_010473_1
OG0000033	Wa8730a003g000940_P001	wa7733.asm1v1.ann1.run1_008863_1
OG0000033	Wa8730a007g006610_P001	wa7733.asm1v1.ann1.run1_000674_1
OG0000033	Wa8730a017g001960_P001	wa7733.asm1v1.ann1.run1_007124_1
OG0000033	Wa8730a002g002310_P001	wa7733.asm1v1.ann1.run1_009501_1
OG0000033	Wa8730a007g002970_P001	wa7733.asm1v1.ann1.run1_009076_1
OG0000034	Wa8730a010g003550_P001	wa7733.asm1v1.ann1.run1_008815_1, wa7733.asm1v1.ann1.run1_008817_1, wa7733.asm1v1.ann1.run1_008822_1
OG0000034	Wa8730a010g003410_P001	wa7733.asm1v1.ann1.run1_008819_1
OG0000034	Wa8730a010g003520_P001	wa7733.asm1v1.ann1.run1_013567_1
OG0000034	Wa8730a005g008430_P001	wa7733.asm1v1.ann1.run1_005522_1
OG0000034	Wa8730a005g007240_P001, Wa8730a005g007250_P001	wa7733.asm1v1.ann1.run1_006596_1
OG0000035	Wa8730a010g006410_P001	wa7733.asm1v1.ann1.run1_012749_1
OG0000035	Wa8730a004g004340_P001	wa7733.asm1v1.ann1.run1_010791_1
OG0000035	Wa8730a004g004280_P001	wa7733.asm1v1.ann1.run1_014500_1
OG0000036	Wa8730a016g000590_P001	wa7733.asm1v1.ann1.run1_003972_1
OG0000036	Wa8730a014g006110_P001	wa7733.asm1v1.ann1.run1_001863_1
OG0000036	Wa8730a018g000430_P001	wa7733.asm1v1.ann1.run1_004960_1
OG0000036	Wa8730a001g011460_P001	wa7733.asm1v1.ann1.run1_008776_1
OG0000036	Wa8730a004g008140_P001	wa7733.asm1v1.ann1.run1_003143_1
OG0000037	Wa8730a004g002340_P001	wa7733.asm1v1.ann1.run1_004486_1
OG0000037	Wa8730a004g002330_P001	wa7733.asm1v1.ann1.run1_004488_1
OG0000037	Wa8730a004g002320_P001	wa7733.asm1v1.ann1.run1_004489_1
OG0000038	Wa8730a007g001410_P001	wa7733.asm1v1.ann1.run1_012492_1
OG0000038	Wa8730a007g008070_P001	wa7733.asm1v1.ann1.run1_000551_1
OG0000038	Wa8730a009g007070_P001	wa7733.asm1v1.ann1.run1_003518_1
OG0000038	Wa8730a003g006220_P001	wa7733.asm1v1.ann1.run1_001917_1
OG0000038	Wa8730a011g002080_P001	wa7733.asm1v1.ann1.run1_000303_1
OG0000039	Wa8730a006g004140_P001	wa7733.asm1v1.ann1.run1_003586_1
OG0000039	Wa8730a004g004290_P001, Wa8730a006g004350_P001	wa7733.asm1v1.ann1.run1_010786_1
OG0000039	Wa8730a006g004340_P001	wa7733.asm1v1.ann1.run1_003569_1
OG0000039	Wa8730a006g004360_P001	wa7733.asm1v1.ann1.run1_014865_1
OG0000039	Wa8730a006g004320_P001	wa7733.asm1v1.ann1.run1_014203_1
OG0000039	Wa8730a006g004330_P001	wa7733.asm1v1.ann1.run1_014204_2
OG0000039	Wa8730a006g004330_P002	wa7733.asm1v1.ann1.run1_014204_1
OG0000039	Wa8730a006g004310_P001, Wa8730a006g004150_P001	wa7733.asm1v1.ann1.run1_003584_1
OG0000040	Wa8730a019g000210_P001	wa7733.asm1v1.ann1.run1_011402_1
OG0000040	Wa8730a005g001560_P001	wa7733.asm1v1.ann1.run1_009146_1
OG0000040	Wa8730a005g001590_P001	wa7733.asm1v1.ann1.run1_009149_1
OG0000040	Wa8730a005g001570_P001	wa7733.asm1v1.ann1.run1_009147_1
OG0000040	Wa8730a004g008080_P001	wa7733.asm1v1.ann1.run1_007183_1
